onset	duration	trial_type	trial_number	event_code	response_time	response	result
-44.325633999	n/a	n/a	n/a	1	n/a	n/a	n/a
0.0	0	n/a	n/a	2	44.325633999	n/a	n/a
0.0191693845	5	090	0	3	n/a	n/a	C:\StimTool\CueReactivity\media\blank.png
10.2723651373	5	001	1	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide023.jpeg
11.9052757651	0	001	1	5	1.63291062788	b	2
15.4738359217	5	000	2	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide003.jpeg
17.9546921963	0	000	2	5	2.48085627462	b	2
20.6643656299	5	005	3	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide106.jpeg
23.170423566	0	005	3	5	2.50605793607	b	2
25.8295641965	5	102	4	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide047.jpeg
25.8295641965	5	102	4	4	n/a	n/a	n/a
27.0187154143	0	102	4	5	1.18915121786	b	1
30.7503199503	0	102	4	5	4.92075575377	b	2
31.0685033116	5	004	5	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide091.jpeg
33.4027568227	0	004	5	5	2.33425351116	b	2
36.26747726	5	003	6	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide082.jpeg
37.51933084	0	003	6	5	1.25185358001	b	2
41.4053914288	5	009	7	6	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\urge_question_drugs.PNG
43.0848718975	0	009	7	7	1.67948046863	1	n/a
46.4591162345	5	091	8	3	n/a	n/a	C:\StimTool\CueReactivity\media\fixation.png
56.6305077441	5	010	9	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide014.jpeg
60.5644858731	0	010	9	5	3.9339781289	y	2
61.8700425471	5	013	10	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide076.jpeg
63.2639635311	0	013	10	5	1.39392098392	b	2
67.0642277021	5	111	11	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide032.jpeg
67.0642277021	5	111	11	4	n/a	n/a	n/a
71.1468767241	0	111	11	5	4.08264902262	y	1
72.2610924651	5	014	12	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide091.jpeg
73.3135185211	0	014	12	5	1.05242605615	b	2
77.4735473541	5	012	13	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide057.jpeg
78.2781349011	0	012	13	5	0.804587546372	b	2
80.4130994481	0	012	13	5	2.93955209327	b	2
82.6672734081	5	015	14	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide103.jpeg
83.4944406411	0	015	14	5	0.827167233932	b	2
85.7456594531	0	015	14	5	3.07838604519	b	2
87.8042397661	5	019	15	6	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\urge_question_drugs.PNG
89.9623338961	0	019	15	7	2.15809413052	1	n/a
92.8514763501	5	091	16	3	n/a	n/a	C:\StimTool\CueReactivity\media\fixation.png
105.070835929	5	100	17	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide004.jpeg
105.070835929	5	100	17	4	n/a	n/a	n/a
106.508601748	0	100	17	5	1.43776581928	b	1
110.26670709	5	005	18	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide111.jpeg
111.37499398	0	005	18	5	1.10828689021	b	2
115.467458233	5	001	19	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide026.jpeg
116.822665823	0	001	19	5	1.3552075907	b	2
120.668783352	5	003	20	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide088.jpeg
123.6238707	0	003	20	5	2.95508734781	b	2
125.868063237	5	004	21	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide100.jpeg
127.556617977	0	004	21	5	1.68855474051	b	2
131.064177962	5	002	22	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide050.jpeg
131.887958184	0	002	22	5	0.823780221584	b	2
136.203264164	5	009	23	6	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\urge_question_drugs.PNG
137.372031331	0	009	23	7	1.16876716698	1	n/a
141.236663737	5	091	24	3	n/a	n/a	C:\StimTool\CueReactivity\media\fixation.png
149.434308145	5	012	25	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide058.jpeg
150.851329896	0	012	25	5	1.41702175031	b	2
154.647770454	5	015	26	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide113.jpeg
155.870018467	0	015	26	5	1.22224801299	b	2
159.888330045	5	113	27	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide071.jpeg
159.888330045	5	113	27	4	n/a	n/a	n/a
161.384941848	0	113	27	5	1.49661180338	b	1
165.076028558	5	014	28	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide100.jpeg
166.768342567	0	014	28	5	1.69231400841	b	2
170.255750223	5	010	29	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide006.jpeg
173.683887532	0	010	29	5	3.42813730901	b	2
175.474629383	5	011	30	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide027.jpeg
177.79848974	0	011	30	5	2.32386035719	b	2
180.603802849	5	019	31	6	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\urge_question_drugs.PNG
181.532727697	0	019	31	7	0.928924848591	1	n/a
185.65761687	5	091	32	3	n/a	n/a	C:\StimTool\CueReactivity\media\fixation.png
193.851340159	5	003	33	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide085.jpeg
197.580605762	0	003	33	5	3.72926560256	b	2
199.045677296	5	102	34	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide041.jpeg
199.045677296	5	102	34	4	n/a	n/a	n/a
200.396839025	0	102	34	5	1.35116172945	b	1
204.275065273	5	004	35	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide096.jpeg
206.379942255	0	004	35	5	2.10487698197	b	2
209.469463202	5	001	36	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide029.jpeg
210.462129807	0	001	36	5	0.992666605085	b	2
214.666982077	5	005	37	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide117.jpeg
215.961519908	0	005	37	5	1.29453783072	b	2
219.858422884	5	000	38	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide016.jpeg
221.344488368	0	000	38	5	1.48606548382	b	2
225.002339328	5	009	39	6	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\urge_question_drugs.PNG
226.193792372	0	009	39	7	1.19145304408	1	n/a
