onset	duration	trial_type	trial_number	event_code	response_time	response	result
-3602.1481019	n/a	n/a	n/a	1	n/a	n/a	n/a
0.0	0	n/a	n/a	2	3602.1481019	n/a	n/a
0.0198802	5	090	0	3	n/a	n/a	C:\StimTool\CueReactivity\media\blank.png
10.2053653	5	001	1	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide023.jpeg
11.2511521	0	001	1	5	1.0457868001	b	2
15.4053777	5	000	2	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide003.jpeg
16.8990708	0	000	2	5	1.49369310006	b	2
20.6049142	5	005	3	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide106.jpeg
22.0146569	0	005	3	5	1.40974269994	b	2
25.8037474	5	102	4	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide047.jpeg
25.8037474	5	102	4	4	n/a	n/a	n/a
26.4799192	0	102	4	5	0.676171800122	b	1
27.8288972	0	102	4	5	2.02514980012	b	2
31.0065912	5	004	5	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide091.jpeg
32.5444217	0	004	5	5	1.53783050017	b	2
36.2044014	5	003	6	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide082.jpeg
37.3592162	0	003	6	5	1.15481480001	b	2
41.4028018	5	009	7	6	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\urge_question_drugs.PNG
42.2897701	0	009	7	7	0.886968299979	1	n/a
44.2901876	0	009	7	7	2.88738580002	1	n/a
46.4373711	5	091	8	3	n/a	n/a	C:\StimTool\CueReactivity\media\fixation.png
56.6045579	5	010	9	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide014.jpeg
59.284716	0	010	9	5	2.68015810009	g	2
61.8048	5	013	10	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide076.jpeg
64.4668528	0	013	10	5	2.66205279995	g	2
67.0047606	5	111	11	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide032.jpeg
67.0047606	5	111	11	4	n/a	n/a	n/a
69.6144095	0	111	11	5	2.60964890011	g	1
70.6642251	0	111	11	5	3.65946450015	g	2
72.2042845	5	014	12	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide091.jpeg
75.512653	0	014	12	5	3.30836849986	g	2
77.4044304	5	012	13	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide057.jpeg
