onset	duration	trial_type	trial_number	event_code	response_time	response	result
-115.8709916	n/a	n/a	n/a	1	n/a	n/a	n/a
0.0	0	n/a	n/a	2	115.87099159999343	n/a	n/a
0.00690079999913	5	090	0	3	n/a	n/a	C:\stimtool3\CueReactivity\media\blank.png
10.2050328	5	001	1	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide023.jpeg
15.4042835	5	000	2	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide003.jpeg
20.6046997	5	005	3	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide106.jpeg
25.8045814	5	102	4	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide047.jpeg
25.8045814	5	102	4	4	n/a	n/a	n/a
27.0333424	0	102	4	5	1.2287609999912092	b	1
31.0054357	5	004	5	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide091.jpeg
34.1809834	0	004	5	5	3.1755476999969687	b	2
36.2050491	5	003	6	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide082.jpeg
41.4038705	5	009	7	6	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\urge_question_drugs.PNG
43.8113967	0	009	7	7	2.407526199996937	1	n/a
46.4417147	5	091	8	3	n/a	n/a	C:\stimtool3\CueReactivity\media\fixation.png
56.6036272	5	010	9	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide014.jpeg
61.8048993	5	013	10	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide076.jpeg
67.0046751	5	111	11	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide032.jpeg
67.0046751	5	111	11	4	n/a	n/a	n/a
67.936236	0	111	11	5	0.931560900004115	b	1
72.203745	5	014	12	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide091.jpeg
77.4038419	5	012	13	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide057.jpeg
82.6050497	5	015	14	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide103.jpeg
87.8027016	5	019	15	6	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\urge_question_drugs.PNG
91.378142	0	019	15	7	3.575440400003572	1	n/a
92.8426619	5	091	16	3	n/a	n/a	C:\stimtool3\CueReactivity\media\fixation.png
105.0051356	5	100	17	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide004.jpeg
105.0051356	5	100	17	4	n/a	n/a	n/a
105.7735122	0	100	17	5	0.768376599997282	b	1
110.2036838	5	005	18	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide111.jpeg
115.4042101	5	001	19	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide026.jpeg
120.6042849	5	003	20	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide088.jpeg
125.8036691	5	004	21	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide100.jpeg
131.0038186	5	002	22	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide050.jpeg
136.2030282	5	009	23	6	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\urge_question_drugs.PNG
137.2960795	0	009	23	7	1.0930512999912025	1	n/a
141.2428815	5	091	24	3	n/a	n/a	C:\stimtool3\CueReactivity\media\fixation.png
149.4051218	5	012	25	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide058.jpeg
154.6050847	5	015	26	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide113.jpeg
