onset	duration	trial_type	trial_number	event_code	response_time	response	result
-41.6540785588	n/a	n/a	n/a	1	n/a	n/a	n/a
0.0	0	n/a	n/a	2	41.6540785588	n/a	n/a
0.0124450747	5	090	0	3	n/a	n/a	C:\StimTool\CueReactivity\media\blank.png
10.2606233749	5	001	1	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide023.jpeg
13.4641950473	0	001	1	5	3.20357167247	b	2
15.4547138	5	000	2	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide003.jpeg
16.4461882568	0	000	2	5	0.991474456728	b	2
20.0956055378	0	000	2	5	4.6408917378	b	2
20.6545739775	5	005	3	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide106.jpeg
21.3980047458	0	005	3	5	0.743430768302	b	2
21.9638786505	0	005	3	5	1.309304673	y	2
22.7632759372	0	005	3	5	2.10870195969	b	2
25.2953086024	0	005	3	5	4.64073462495	b	2
25.8547775926	5	102	4	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide047.jpeg
25.8547775926	5	102	4	4	n/a	n/a	n/a
26.9299406959	0	102	4	5	1.07516310327	y	1
28.1946166348	0	102	4	5	2.33983904223	b	2
31.0532008585	5	004	5	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide091.jpeg
32.5773368267	0	004	5	5	1.52413596814	b	2
36.2413261272	5	003	6	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide082.jpeg
38.0768009456	0	003	6	5	1.83547481832	b	2
41.4040812234	5	009	7	6	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\urge_question_drugs.PNG
42.2246607172	0	009	7	7	0.820579493773	1	n/a
46.4394406941	5	091	8	3	n/a	n/a	C:\StimTool\CueReactivity\media\fixation.png
56.6439195156	5	010	9	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide014.jpeg
57.4580561983	0	010	9	5	0.814136682653	g	2
58.6255183641	0	010	9	5	1.98159884826	r	2
59.1232135811	0	010	9	5	2.47929406591	g	2
60.0076377371	0	010	9	5	3.36371822166	g	2
61.8561426581	5	013	10	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide076.jpeg
64.4411740671	0	013	10	5	2.58503140875	r	2
67.0640337501	5	111	11	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide032.jpeg
67.0640337501	5	111	11	4	n/a	n/a	n/a
69.0726425871	0	111	11	5	2.00860883677	y	1
70.7242614221	0	111	11	5	3.66022767152	g	2
71.4072894051	0	111	11	5	4.34325565458	y	2
72.2494683621	5	014	12	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide091.jpeg
73.4722425411	0	014	12	5	1.2227741787	r	2
77.4754988831	5	012	13	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide057.jpeg
78.8389553811	0	012	13	5	1.36345649849	r	2
82.6756140721	5	015	14	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide103.jpeg
83.9882054831	0	015	14	5	1.31259141066	r	2
87.8035094591	5	019	15	6	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\urge_question_drugs.PNG
88.5367255231	0	019	15	7	0.733216064513	4	n/a
92.8343706861	5	091	16	3	n/a	n/a	C:\StimTool\CueReactivity\media\fixation.png
98.4847886731	0	091	16	5	5.65041798729	g	2
105.061645872	5	100	17	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide004.jpeg
105.061645872	5	100	17	4	n/a	n/a	n/a
106.134412806	0	100	17	5	1.07276693493	y	1
106.651426589	0	100	17	5	1.58978071704	y	2
107.117481726	0	100	17	5	2.05583585418	b	2
108.234541063	0	100	17	5	3.17289519112	y	2
110.251135417	5	005	18	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide111.jpeg
112.481969721	0	005	18	5	2.23083430476	b	2
113.049318434	0	005	18	5	2.79818301752	y	2
115.457903822	5	001	19	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide026.jpeg
116.599661457	0	001	19	5	1.14175763488	b	2
120.654117245	5	003	20	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide088.jpeg
122.632290007	0	003	20	5	1.97817276176	y	2
125.84996236	5	004	21	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide100.jpeg
126.99846282	0	004	21	5	1.14850046048	b	2
131.051518804	5	002	22	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide050.jpeg
132.281367008	0	002	22	5	1.22984820451	b	2
136.203059674	5	009	23	6	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\urge_question_drugs.PNG
138.046765942	0	009	23	7	1.84370626845	1	n/a
138.546511128	0	009	23	7	2.34345145351	2	n/a
141.244513781	5	091	24	3	n/a	n/a	C:\StimTool\CueReactivity\media\fixation.png
149.477266994	5	012	25	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide058.jpeg
150.361653253	0	012	25	5	0.884386259178	r	2
152.146321013	0	012	25	5	2.66905401879	r	2
154.660574662	5	015	26	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide113.jpeg
155.494297159	0	015	26	5	0.833722496863	r	2
159.868094683	5	113	27	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide071.jpeg
159.868094683	5	113	27	4	n/a	n/a	n/a
160.744625694	0	113	27	5	0.876531011431	r	1
162.509508683	0	113	27	5	2.64141399986	r	2
165.03658124	5	014	28	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide100.jpeg
166.027652256	0	014	28	5	0.991071016192	r	2
166.792427476	0	014	28	5	1.75584623626	g	2
170.254797962	5	010	29	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide006.jpeg
171.144601456	0	010	29	5	0.889803494458	r	2
175.449053395	5	011	30	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide027.jpeg
176.225486152	0	011	30	5	0.776432756687	r	2
180.604304971	5	019	31	6	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\urge_question_drugs.PNG
181.424900255	0	019	31	7	0.820595284009	4	n/a
181.923767503	0	019	31	7	1.31946253194	4	n/a
185.638435961	5	091	32	3	n/a	n/a	C:\StimTool\CueReactivity\media\fixation.png
193.850200793	5	003	33	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide085.jpeg
196.890189171	0	003	33	5	3.03998837839	b	2
199.053710488	5	102	34	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide041.jpeg
199.053710488	5	102	34	4	n/a	n/a	n/a
199.921648453	0	102	34	5	0.867937964898	b	1
200.840107674	0	102	34	5	1.78639718523	b	2
203.354630941	0	102	34	5	4.30092045234	y	2
204.250437093	5	004	35	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide096.jpeg
205.122042735	0	004	35	5	0.871605642009	y	2
209.471165647	5	001	36	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide029.jpeg
210.203399954	0	001	36	5	0.732234306578	y	2
210.672352994	0	001	36	5	1.20118734681	b	2
212.338294757	0	001	36	5	2.86712911005	b	2
214.664803287	5	005	37	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide117.jpeg
217.435189962	0	005	37	5	2.77038667525	y	2
219.858017354	5	000	38	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide016.jpeg
220.884308492	0	000	38	5	1.02629113801	b	2
224.250331694	0	000	38	5	4.39231433939	b	2
225.002758159	5	009	39	6	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\urge_question_drugs.PNG
225.900924952	0	009	39	7	0.898166793055	2	n/a
230.033028437	5	091	40	3	n/a	n/a	C:\StimTool\CueReactivity\media\fixation.png
242.271411659	5	012	41	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide048.jpeg
244.383426805	0	012	41	5	2.11201514599	g	2
245.066802568	0	012	41	5	2.79539090901	g	2
247.448819305	5	014	42	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide098.jpeg
248.431995992	0	014	42	5	0.983176687611	r	2
251.514724198	0	014	42	5	4.06590489304	r	2
252.654803725	5	010	43	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide009.jpeg
253.414980039	0	010	43	5	0.760176313777	r	2
253.966448906	0	010	43	5	1.31164518076	r	2
257.854905888	5	115	44	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide120.jpeg
257.854905888	5	115	44	4	n/a	n/a	n/a
259.365567258	0	115	44	5	1.51066137009	g	1
259.649432282	0	115	44	5	1.79452639358	r	2
263.070736705	5	013	45	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide084.jpeg
266.046085383	0	013	45	5	2.97534867802	r	2
266.51330505	0	013	45	5	3.44256834508	r	2
266.862582311	0	013	45	5	3.79184560623	r	2
268.253441975	5	011	46	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide023.jpeg
270.430564213	0	011	46	5	2.17712223735	r	2
273.402924589	5	019	47	6	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\urge_question_drugs.PNG
274.596629732	0	019	47	7	1.19370514339	4	n/a
278.442737695	5	091	48	3	n/a	n/a	C:\StimTool\CueReactivity\media\fixation.png
286.650530887	5	003	49	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide076.jpeg
288.778009017	0	003	49	5	2.12747812954	y	2
291.867138189	5	001	50	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide022.jpeg
292.878837965	0	001	50	5	1.0116997755	b	2
296.226838191	0	001	50	5	4.3597000013	y	2
297.071447266	5	005	51	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide107.jpeg
299.756941684	0	005	51	5	2.68549441795	b	2
302.27030279	5	004	52	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide099.jpeg
305.740594842	0	004	52	5	3.47029205226	y	2
307.445669942	5	000	53	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide014.jpeg
309.823555953	0	000	53	5	2.37788601107	y	2
312.662691343	5	102	54	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide046.jpeg
312.662691343	5	102	54	4	n/a	n/a	n/a
313.608435302	0	102	54	5	0.945743958951	b	1
314.224634268	0	102	54	5	1.5619429254	b	2
315.957277937	0	102	54	5	3.29458659385	b	2
317.803691047	5	009	55	6	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\urge_question_drugs.PNG
318.722847011	0	009	55	7	0.919155964505	2	n/a
322.836871859	5	091	56	3	n/a	n/a	C:\StimTool\CueReactivity\media\fixation.png
333.060490421	5	012	57	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide068.jpeg
335.988335752	0	012	57	5	2.92784533148	r	2
336.737229153	0	012	57	5	3.67673873199	r	2
338.252898396	5	014	58	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide089.jpeg
340.75334072	0	014	58	5	2.50044232399	r	2
343.460697115	5	115	59	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide110.jpeg
343.460697115	5	115	59	4	n/a	n/a	n/a
345.950743148	0	115	59	5	2.49004603249	r	1
347.635250676	0	115	59	5	4.17455356068	g	2
348.646233969	5	011	60	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide030.jpeg
349.601223901	0	011	60	5	0.954989931751	r	2
351.984807029	0	011	60	5	3.33857306004	r	2
353.860253646	5	010	61	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide012.jpeg
354.818504262	0	010	61	5	0.958250615523	r	2
357.301197176	0	010	61	5	3.44094352977	r	2
359.02060389	5	013	62	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide070.jpeg
361.550595667	0	013	62	5	2.52999177723	r	2
363.95132107	0	013	62	5	4.93071718068	r	2
364.204284602	5	019	63	6	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\urge_question_drugs.PNG
365.034943398	0	019	63	7	0.830658796286	3	n/a
365.467826802	0	019	63	7	1.2635422	4	n/a
366.284532556	0	019	63	7	2.08024795408	3	n/a
366.867475311	0	019	63	7	2.66319070934	4	n/a
369.248336992	5	091	64	3	n/a	n/a	C:\StimTool\CueReactivity\media\fixation.png
381.404726649	5	090	65	3	n/a	n/a	C:\StimTool\CueReactivity\media\blank.png
391.682748101	0	n/a	n/a	99	n/a	n/a	n/a
