onset	duration	trial_type	trial_number	event_code	response_time	response	result
-29.2264025216	n/a	n/a	n/a	1	n/a	n/a	n/a
0.0	0	n/a	n/a	2	29.2264025216	n/a	n/a
0.0165150468	5	090	0	3	n/a	n/a	C:\StimTool\CueReactivity\media\blank.png
10.2872590255	5	001	1	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide023.jpeg
11.133396626	0	001	1	5	0.846137600485	b	2
15.1829978228	0	001	1	5	4.89573879726	b	2
15.4871674417	5	000	2	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide003.jpeg
16.9647225551	0	000	2	5	1.47755511338	b	2
20.6982443188	5	005	3	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide106.jpeg
22.2960826303	0	005	3	5	1.59783831146	b	2
25.8838747749	5	102	4	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide047.jpeg
25.8838747749	5	102	4	4	n/a	n/a	n/a
26.6106813303	0	102	4	5	0.726806555409	b	1
31.0858323742	5	004	5	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide091.jpeg
32.0098326034	0	004	5	5	0.924000229221	b	2
36.2883521072	5	003	6	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide082.jpeg
37.4749145843	0	003	6	5	1.18656247715	b	2
41.4034379371	5	009	7	6	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\urge_question_drugs.PNG
43.220774868	0	009	7	7	1.81733693089	1	n/a
46.446039306	5	091	8	3	n/a	n/a	C:\StimTool\CueReactivity\media\fixation.png
56.6888222625	5	010	9	3	n/a	n/a	C:\StimTool\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide014.jpeg
58.7506530266	0	010	9	5	2.06183076417	y	2
