onset	duration	trial_type	trial_number	event_code	response_time	response	result
-70.7836062	n/a	n/a	n/a	1	n/a	n/a	n/a
0.0	0	n/a	n/a	2	70.78360619999876	n/a	n/a
0.017030300005	5	090	0	3	n/a	n/a	C:\stimtool3\CueReactivity\media\blank.png
10.2056347	5	001	1	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide023.jpeg
15.4071285	5	000	2	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide003.jpeg
20.6058148	5	005	3	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide106.jpeg
25.8071558	5	102	4	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide047.jpeg
25.8071558	5	102	4	4	n/a	n/a	n/a
26.2805303	0	102	4	5	0.47337450001214165	r	1
31.0066712	5	004	5	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide091.jpeg
36.2042967	5	003	6	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide082.jpeg
41.4035581	5	009	7	6	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\urge_question_drugs.PNG
43.9712642	0	009	7	7	2.567706099987845	4	n/a
45.4040016	0	009	7	7	4.000443499986432	1	n/a
45.6704235	0	009	7	7	4.266865399986273	1	n/a
45.9036302	0	009	7	7	4.500072099996032	1	n/a
46.1359198	0	009	7	7	4.732361699992907	1	n/a
46.3532091	0	009	7	7	4.94965099998808	1	n/a
46.4346145	5	091	8	3	n/a	n/a	C:\stimtool3\CueReactivity\media\fixation.png
46.5856282	0	091	8	5	0.1510137000004761	r	2
56.603595	5	010	9	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide014.jpeg
61.8045313	5	013	10	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide076.jpeg
67.005177	5	111	11	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide032.jpeg
67.005177	5	111	11	4	n/a	n/a	n/a
72.010518	0	111	11	5	n/a	n/a	0
72.2047715	5	014	12	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide091.jpeg
77.4052637	5	012	13	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide057.jpeg
82.6041698	5	015	14	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedOpioidCues120\Slide103.jpeg
87.8058346	5	019	15	6	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\urge_question_drugs.PNG
89.2226284	0	019	15	7	1.4167938000027789	2	n/a
92.8359796	5	091	16	3	n/a	n/a	C:\stimtool3\CueReactivity\media\fixation.png
105.0058984	5	100	17	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide004.jpeg
105.0058984	5	100	17	4	n/a	n/a	n/a
105.832894	0	100	17	5	0.8269956000003731	r	1
110.2041975	5	005	18	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide111.jpeg
115.4050145	5	001	19	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide026.jpeg
120.6057972	5	003	20	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide088.jpeg
125.8071723	5	004	21	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide100.jpeg
131.0055512	5	002	22	3	n/a	n/a	C:\stimtool3\CueReactivity\media\MethOpioidDatabase\finalcueset\ExtractedNeutralCues120\Slide050.jpeg
